rank,title,singer
1,에잇(Prod.&Feat. SUGA of BTS),아이유(IU)
2,Downtown Baby,블루(BLOO)
3,아로하,조정석
4,살짝 설렜어 (Nonstop),오마이걸(OH MY GIRL)
5,MORE & MORE,TWICE(트와이스)
6,사랑하게 될 줄 알았어,전미도
7,Dolphin,오마이걸(OH MY GIRL)
8,좋은 사람 있으면 소개시켜줘,조이 (JOY)
9,아무노래,지코 (ZICO)
10,화려하지 않은 고백,규현(KYUHYUN)
11,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야,장범준
12,Blueming,아이유(IU)
13,덤더럼(Dumhdurum),에이핑크(Apink)
14,나비와 고양이 (Feat. 백현 (BAEKHYUN)),볼빨간사춘기
15,그대 고운 내사랑,어반자카파
16,Memories,Maroon 5
17,깡 Official Remix,식케이 (Sik-..
18,WANNABE,ITZY(있지)
19,Psycho,Red Velvet (레드벨벳)
20,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악동뮤지션)
21,Don't Start Now,Dua Lipa
22,METEOR,창모(CHANGMO)
23,시작,가호 (Gaho)
24,"너에게 난, 나에게 넌",미도와 파라솔
25,Into the I-LAND,아이유(IU)
26,Lonely Night,권진아
27,내 눈물 모아,휘인(Whee In)
28,처음처럼,엠씨더맥스(M.C the MAX)
29,2002,Anne-Marie
30,환상동화 (Secret Story of the Swan),IZ*ONE(아이즈원)
31,FIESTA,IZ*ONE(아이즈원)
32,Love poem,아이유(IU)
33,Dance Monkey,Tones And I
34,늦은 밤 너의 집 앞 골목길에서,노을
35,Happy,태연 (TAEYEON)
36,시청 앞 지하철 역에서,곽진언
37,LALALILALA,에이프릴(APRIL)
38,Rain On Me,Lady Gaga
39,어떻게 지내 (Prod. By VAN.C),오반
40,Paris In The Rain,Lauv
41,밤이 깊었네 (Drama Ver.),미도와 파라솔
42,ON,방탄소년단
43,작사가,헤이즈 (Heize)
44,돌덩이,하현우 (국카스텐)
45,Juice,Lizzo
46,HIP,마마무(Mamamoo)
47,넌 언제나,제이레빗(J Rabbit)
48,너를 만나,폴킴
49,Stay Tonight,청하
50,Stuck with U,Ariana Gr..
